stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /etc/allegro5rc r
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /home/marc/allegro5rc r
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /home/marc/PROJECTS/Eagle/EagleGUI/cbbuild/bin/allegro5.cfg r
system   I            xsystem.c:212  xglx_initialize                  [   0.00000] XGLX driver connected to X11 (The X.Org Foundation 11901000).
system   I            xsystem.c:214  xglx_initialize                  [   0.00000] X11 protocol version 11.0.
system   I            xsystem.c:228  xglx_initialize                  [   0.00000] events thread spawned.
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.3 (GIT)
PulseAudio D         pulseaudio.c:123  pulseaudio_open                  [   0.00416] PA_CONTEXT_READY
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05168] key [15: 6 asciicircum] assigned to 33.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05169] key [16: 7 ampersand] assigned to 34.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05171] key [17: 8 asterisk] assigned to 35.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05172] key [18: 9 parenleft] assigned to 36.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05173] key [19: 0 parenright] assigned to 27.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05174] key [20: minus underscore] assigned to 61.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05175] key [21: equal plus] assigned to 62.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05176] key [22: BackSpace BackSpace] assigned to 63.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05177] key [23: Tab ISO_Left_Tab] assigned to 64.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05178] key [24: q Q] assigned to 17.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05180] key [25: w W] assigned to 23.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05181] key [26: e E] assigned to 5.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05182] key [27: r R] assigned to 18.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05183] key [28: t T] assigned to 20.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05185] key [29: y Y] assigned to 25.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05186] key [30: u U] assigned to 21.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05187] key [31: i I] assigned to 9.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05189] key [32: o O] assigned to 15.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05190] key [33: p P] assigned to 16.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05191] key [34: bracketleft braceleft] assigned to 65.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05192] key [35: bracketright braceright] assigned to 66.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05193] key [36: Return NULL] assigned to 67.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05194] key [37: Control_L NULL] assigned to 217.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05195] key [38: a A] assigned to 1.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05196] key [39: s S] assigned to 19.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05198] key [40: d D] assigned to 4.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05199] key [41: f F] assigned to 6.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05200] key [42: g G] assigned to 7.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05201] key [43: h H] assigned to 8.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05202] key [44: j J] assigned to 10.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05203] key [45: k K] assigned to 11.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05204] key [46: l L] assigned to 12.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05205] key [47: semicolon colon] assigned to 68.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05207] key [48: apostrophe quotedbl] assigned to 69.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05208] key [49: grave asciitilde] assigned to 60.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05209] key [50: Shift_L NULL] assigned to 215.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05210] key [51: backslash bar] assigned to 70.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05211] key [52: z Z] assigned to 26.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05215] key [53: x X] assigned to 24.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05216] key [54: c C] assigned to 3.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05220] key [55: v V] assigned to 22.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05222] key [56: b B] assigned to 2.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05223] key [57: n N] assigned to 14.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05224] key [58: m M] assigned to 13.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05225] key [59: comma less] assigned to 72.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05226] key [60: period greater] assigned to 73.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05227] key [61: slash question] assigned to 74.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05228] key [62: Shift_R NULL] assigned to 216.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05230] key [63: KP_Multiply KP_Multiply] assigned to 87.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05231] key [64: Alt_L Meta_L] assigned to 219.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05232] key [65: space NULL] assigned to 75.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05234] key [66: Caps_Lock NULL] assigned to 226.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05235] key [67: F1 F1] assigned to 47.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05236] key [68: F2 F2] assigned to 48.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05237] key [69: F3 F3] assigned to 49.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05238] key [70: F4 F4] assigned to 50.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05239] key [71: F5 F5] assigned to 51.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05240] key [72: F6 F6] assigned to 52.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05241] key [73: F7 F7] assigned to 53.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05243] key [74: F8 F8] assigned to 54.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05244] key [75: F9 F9] assigned to 55.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05245] key [76: F10 F10] assigned to 56.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05246] key [77: Num_Lock NULL] assigned to 225.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05247] key [78: Scroll_Lock NULL] assigned to 224.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05248] key [79: KP_Home KP_7] assigned to 44.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05249] key [80: KP_Up KP_8] assigned to 45.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05251] key [81: KP_Prior KP_9] assigned to 46.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05252] key [82: KP_Subtract KP_Subtract] assigned to 88.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05253] key [83: KP_Left KP_4] assigned to 41.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05254] key [84: KP_Begin KP_5] assigned to 42.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05255] key [85: KP_Right KP_6] assigned to 43.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05256] key [86: KP_Add KP_Add] assigned to 89.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05257] key [87: KP_End KP_1] assigned to 38.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05259] key [88: KP_Down KP_2] assigned to 39.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05260] key [89: KP_Next KP_3] assigned to 40.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05261] key [90: KP_Insert KP_0] assigned to 37.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05263] key [91: KP_Delete KP_Decimal] assigned to 90.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05265] key [92: ISO_Level3_Shift NULL] assigned to 220.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05266] key [93: NULL NULL] not assigned.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05267] key [94: less greater] assigned to 71.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05268] key [95: F11 F11] assigned to 57.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05269] key [96: F12 F12] assigned to 58.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05271] key [97: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05272] key [98: Katakana NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05273] key [99: Hiragana NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05274] key [100: Henkan_Mode NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05275] key [101: Hiragana_Katakana NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05277] key [102: Muhenkan NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05278] key [103: NULL NULL] not assigned.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05279] key [104: KP_Enter NULL] assigned to 91.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05280] key [105: Control_R Multi_key] assigned to 218.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05281] key [106: KP_Divide KP_Divide] assigned to 86.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05282] key [107: Print Sys_Req] assigned to 92.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05284] key [108: Alt_R Meta_R] *double* assigned to 220.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05285] key [109: Linefeed NULL] defering.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05286] key [110: Home NULL] assigned to 78.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05287] key [111: Up NULL] assigned to 84.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05288] key [112: Prior NULL] assigned to 80.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05289] key [113: Left NULL] assigned to 82.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05290] key [114: Right NULL] assigned to 83.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05291] key [115: End NULL] assigned to 79.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05293] key [116: Down NULL] assigned to 85.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05294] key [117: Next NULL] assigned to 81.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05295] key [118: Insert NULL] assigned to 76.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05296] key [119: Delete NULL] assigned to 77.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05297] key [120: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05298] key [121: XF86AudioMute NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05300] key [122: XF86AudioLowerVolume NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05301] key [123: XF86AudioRaiseVolume NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05302] key [124: XF86PowerOff NULL] defering.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05303] key [125: KP_Equal NULL] assigned to 103.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05304] key [126: plusminus NULL] defering.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05305] key [127: Pause Break] assigned to 93.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05307] key [128: XF86LaunchA NULL] defering.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05308] key [129: KP_Decimal KP_Decimal] *double* assigned to 90.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05309] key [130: Hangul NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05310] key [131: Hangul_Hanja NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05311] key [132: NULL NULL] not assigned.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05314] key [133: Super_L NULL] assigned to 221.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05315] key [134: Super_R Multi_key] assigned to 222.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05316] key [135: Menu NULL] assigned to 223.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05317] key [136: Cancel NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05318] key [137: Redo NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05320] key [138: SunProps NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05321] key [139: Undo NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05322] key [140: SunFront NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05323] key [141: XF86Copy NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05324] key [142: XF86Open NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05325] key [143: XF86Paste NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05326] key [144: Find NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05328] key [145: XF86Cut NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05329] key [146: Help NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05330] key [147: XF86MenuKB NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05331] key [148: XF86Calculator NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05332] key [149: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05333] key [150: XF86Sleep NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05334] key [151: XF86WakeUp NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05336] key [152: XF86Explorer NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05337] key [153: XF86Send NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05338] key [154: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05339] key [155: XF86Xfer NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05340] key [156: XF86Launch1 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05341] key [157: XF86Launch2 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05342] key [158: XF86WWW NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05344] key [159: XF86DOS NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05345] key [160: XF86ScreenSaver NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05346] key [161: XF86RotateWindows NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05347] key [162: XF86TaskPane NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05348] key [163: XF86Mail NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05349] key [164: XF86Favorites NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05351] key [165: XF86MyComputer NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05352] key [166: XF86Back NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05353] key [167: XF86Forward NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05354] key [168: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05355] key [169: XF86Eject NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05356] key [170: XF86Eject XF86Eject] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05358] key [171: XF86AudioNext NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05359] key [172: XF86AudioPlay XF86AudioPause] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05360] key [173: XF86AudioPrev NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05361] key [174: XF86AudioStop XF86Eject] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05363] key [175: XF86AudioRecord NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05365] key [176: XF86AudioRewind NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05366] key [177: XF86Phone NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05367] key [178: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05368] key [179: XF86Tools NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05369] key [180: XF86HomePage NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05370] key [181: XF86Reload NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05372] key [182: XF86Close NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05373] key [183: NULL NULL] not assigned.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05374] key [184: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05375] key [185: XF86ScrollUp NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05376] key [186: XF86ScrollDown NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05377] key [187: parenleft NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05378] key [188: parenright NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05379] key [189: XF86New NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05381] key [190: Redo NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05382] key [191: XF86Tools NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05383] key [192: XF86Launch5 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05384] key [193: XF86Launch6 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05385] key [194: XF86Launch7 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05386] key [195: XF86Launch8 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05387] key [196: XF86Launch9 NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05389] key [197: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05390] key [198: XF86AudioMicMute NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05391] key [199: XF86TouchpadToggle NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05392] key [200: XF86TouchpadOn NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05393] key [201: XF86TouchpadOff NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05395] key [202: NULL NULL] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05396] key [203: Mode_switch NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05397] key [204: NULL Alt_L] not assigned.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05398] key [205: NULL Meta_L] not assigned.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05399] key [206: NULL Super_L] not assigned.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05400] key [207: NULL Hyper_L] not assigned.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05401] key [208: XF86AudioPlay NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05403] key [209: XF86AudioPause NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05404] key [210: XF86Launch3 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05405] key [211: XF86Launch4 NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05406] key [212: XF86LaunchB NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05407] key [213: XF86Suspend NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05408] key [214: XF86Close NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05409] key [215: XF86AudioPlay NULL] defering.
keyboard D          xkeyboard.c:597  _al_xwin_get_keyboard_mapping    [   0.05411] key [216: XF86AudioForward NULL] defering.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05413] key [217: NULL NULL] not assigned.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05414] key [218: Print NULL] *double* assigned to 92.
